,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_SITE_RELEASE,TOTAL_OFF_SITE_RELEASE,TOTAL_ON_OFF_SITE_RELEASE,AIR_TOTAL_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE,OTH_LANDF_TOT_REL,SURF_IMP_TOT_REL,OTH_DISP_TOT_REL,OTHER_LAND_RELEASE,TOT_ALL_OTH_CATEGS,State,State_Abbr,Latitude,Longitude,tooltip_fld
739,2005,ND,13994838.461790496,9065104.083162298,23059942.5449528,3726263.3355480004,208852.68600000002,10059722.4402426,3297285.4402426006,6679255.7,4009.4,4009.4,9295290.4631623,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 23059943
͏
Total On: 13994838
͏
Total Off: 9065104
͏
Total Land: 10059722
͏
Total Water: 208853
͏
Total Air: 3726263"
740,2006,ND,13607158.094722101,8723852.594753101,22331010.689475194,3584656.7046559006,203307.64000000004,9819193.750066198,2083099.5500662003,7379266.099999999,79231.5,79231.5,9084996.754753102,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 22331011
͏
Total On: 13607158
͏
Total Off: 8723853
͏
Total Land: 9819194
͏
Total Water: 203308
͏
Total Air: 3584657"
741,2007,ND,13818534.954519099,8394645.117506001,22213180.072025105,4571856.984430901,82128.41,9164549.5600882,2857137.0300882007,4982296.100000001,990163.0,990163.0,8864782.797506,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 22213180
͏
Total On: 13818535
͏
Total Off: 8394645
͏
Total Land: 9164550
͏
Total Water: 82128
͏
Total Air: 4571857"
742,2008,ND,14750002.331719996,7911439.708483899,22661442.04020389,4465712.087600901,187696.01,10096594.234119097,2581394.8601191,5879564.130000001,1245395.0939999998,1245395.0939999998,8723855.708483899,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 22661442
͏
Total On: 14750002
͏
Total Off: 7911440
͏
Total Land: 10096594
͏
Total Water: 187696
͏
Total Air: 4465712"
743,2009,ND,13274621.669927102,7973703.9230213,21248325.5929484,3637129.4498076,238523.21,9398969.0101195,2173048.8801195,5151502.43,1685530.9,1685530.9,8876767.723021302,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 21248326
͏
Total On: 13274622
͏
Total Off: 7973704
͏
Total Land: 9398969
͏
Total Water: 238523
͏
Total Air: 3637129"
744,2010,ND,13678929.326324198,7444420.4926505005,21123349.818974696,4040188.034238001,91043.67,9547697.6220862,2832949.6920861998,5561315.13,531404.9,531404.9,8675655.1526505,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 21123350
͏
Total On: 13678929
͏
Total Off: 7444420
͏
Total Land: 9547698
͏
Total Water: 91044
͏
Total Air: 4040188"
745,2011,ND,14411449.085381404,6655045.788400001,21066494.8737814,3361947.3684329,106443.00270000001,10943058.7142485,5052524.5774485,4616604.8467999995,826245.89,826245.89,7655148.6494,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 21066495
͏
Total On: 14411449
͏
Total Off: 6655046
͏
Total Land: 10943059
͏
Total Water: 106443
͏
Total Air: 3361947"
746,2012,ND,34700931.61500649,7586300.90575,42287232.5207565,16188053.553917099,157423.7858,18355454.2752894,12402275.397789396,4943080.2175,294201.66,294201.66,7266691.685750001,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 42287233
͏
Total On: 34700932
͏
Total Off: 7586301
͏
Total Land: 18355454
͏
Total Water: 157424
͏
Total Air: 16188054"
747,2013,ND,34965797.167294286,9828789.775899999,44794586.9431943,16588096.043383397,185419.215,18192281.9089108,10011766.028910799,4619051.950000001,1133036.93,1133036.93,11118422.835899998,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 44794587
͏
Total On: 34965797
͏
Total Off: 9828790
͏
Total Land: 18192282
͏
Total Water: 185419
͏
Total Air: 16588096"
748,2014,ND,39317899.154511824,9794979.3318501,49112878.4863619,19774937.432797402,202477.55830000003,19340484.163414396,11753363.262814399,6603505.9806,281781.22,281781.22,9585168.0738507,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 49112878
͏
Total On: 39317899
͏
Total Off: 9794979
͏
Total Land: 19340484
͏
Total Water: 202478
͏
Total Air: 19774937"
749,2015,ND,36135955.02888621,14495947.8559,50631902.884786226,19810089.3430126,127705.11579999999,16198160.570073696,11484118.018313698,2888114.20176,1170427.85,1170427.85,13978466.2119,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 50631903
͏
Total On: 36135955
͏
Total Off: 14495948
͏
Total Land: 16198161
͏
Total Water: 127705
͏
Total Air: 19810089"
750,2016,ND,28134905.784726605,14075411.975300001,42210317.76002661,13485698.411508106,110795.36290000001,14538412.010318602,11690401.3600186,2780871.7503,35761.8,35761.8,13288743.6133,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 42210318
͏
Total On: 28134906
͏
Total Off: 14075412
͏
Total Land: 14538412
͏
Total Water: 110795
͏
Total Air: 13485698"
751,2017,ND,32958535.556799397,13243571.31604,46202106.872839436,16029983.408880102,134742.50029999999,16793809.6476192,13986852.548419202,2697331.6692,79138.73,79138.73,12681582.468300002,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 46202107
͏
Total On: 32958536
͏
Total Off: 13243571
͏
Total Land: 16793810
͏
Total Water: 134743
͏
Total Air: 16029983"
752,2018,ND,39979287.92980581,12988469.410199996,52967757.340005815,21535700.17615189,173132.08160000003,18270455.672053896,15205004.086113898,2978781.1059399997,61854.38,61854.38,12405810.986199997,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 52967757
͏
Total On: 39979288
͏
Total Off: 12988469
͏
Total Land: 18270456
͏
Total Water: 173132
͏
Total Air: 21535700"
753,2019,ND,36435964.31835151,12084722.681123901,48520686.99947541,22123231.757074807,94831.0158,14217901.5454767,11804650.5556057,2327519.8398710005,28751.739999999998,28751.739999999998,11238463.502123898,North Dakota,ND,47.528912,-99.784012,"Total On/Off Site: 48520687
͏
Total On: 36435964
͏
Total Off: 12084723
͏
Total Land: 14217902
͏
Total Water: 94831
͏
Total Air: 22123232"
754,1994,NE,10824506.0,5962903.0,16787409.0,9521038.0,470293.0,833175.0,0.0,35278.0,71007.0,305227.0,7211965.0,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 16787409
͏
Total On: 10824506
͏
Total Off: 5962903
͏
Total Land: 833175
͏
Total Water: 470293
͏
Total Air: 9521038"
755,1995,NE,13156960.0,3891663.0,17048623.0,10328636.0,2162438.0,665886.0,1898.0,62117.0,18259.0,198341.0,4807459.0,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 17048623
͏
Total On: 13156960
͏
Total Off: 3891663
͏
Total Land: 665886
͏
Total Water: 2162438
͏
Total Air: 10328636"
756,1996,NE,11721529.0,3878050.0,15599579.0,8330033.0,2818132.0,573364.0,13852.0,23750.0,6668.0,6668.0,5034489.0,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 15599579
͏
Total On: 11721529
͏
Total Off: 3878050
͏
Total Land: 573364
͏
Total Water: 2818132
͏
Total Air: 8330033"
757,1997,NE,10493781.0,9549330.0,20043111.0,7545799.0,2335832.0,612150.0,4422.0,20126.0,44477.0,44477.0,10736468.0,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 20043111
͏
Total On: 10493781
͏
Total Off: 9549330
͏
Total Land: 612150
͏
Total Water: 2335832
͏
Total Air: 7545799"
758,1998,NE,25496035.0,6997722.0,32493757.0,10592667.0,10669938.0,4233430.0,3530449.0,52087.0,142347.0,142347.0,8098573.0,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 32493757
͏
Total On: 25496035
͏
Total Off: 6997722
͏
Total Land: 4233430
͏
Total Water: 10669938
͏
Total Air: 10592667"
759,1999,NE,25086404.0,6632298.0,31718702.0,8692355.0,11347161.0,5046888.0,4319766.0,2777.0,91005.0,91005.0,8079037.0,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 31718702
͏
Total On: 25086404
͏
Total Off: 6632298
͏
Total Land: 5046888
͏
Total Water: 11347161
͏
Total Air: 8692355"
760,2000,NE,25815911.9898678,9962953.355999999,35778865.3458678,8172120.960508399,10830967.027,6812824.0023594,6158900.0023594,3665.0,31539.0,31539.0,11412641.355999999,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 35778865
͏
Total On: 25815912
͏
Total Off: 9962953
͏
Total Land: 6812824
͏
Total Water: 10830967
͏
Total Air: 8172121"
761,2001,NE,23846748.556241002,12999417.83922,36846166.395461015,7861412.235964701,9601100.8321185,6384235.488157801,5890799.6498594005,4365.258298399999,27291.28,27291.28,14244661.83402,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 36846166
͏
Total On: 23846749
͏
Total Off: 12999418
͏
Total Land: 6384235
͏
Total Water: 9601101
͏
Total Air: 7861412"
762,2002,NE,28266958.203444906,16089417.885546494,44356376.0889914,7607216.819512398,13108748.471266402,7550992.912666099,6687978.6428665,2340.2757996000005,22585.994,22585.994,17348716.625398494,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 44356376
͏
Total On: 28266958
͏
Total Off: 16089418
͏
Total Land: 7550993
͏
Total Water: 13108748
͏
Total Air: 7607217"
763,2003,NE,38046711.015395306,14842567.6012787,52889278.616674036,11170774.850705408,18177387.93717701,8698548.2275129,7740973.86,1755.2768828999997,277306.981,277306.981,16243389.319618696,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 52889279
͏
Total On: 38046711
͏
Total Off: 14842568
͏
Total Land: 8698548
͏
Total Water: 18177388
͏
Total Air: 11170775"
764,2004,NE,36238657.756577514,13779143.285716899,50017801.042294405,10844326.394948905,20145099.4091855,5249231.952443102,4710978.4,2663.2824431000004,42754.27,42754.27,14890133.600711899,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 50017801
͏
Total On: 36238658
͏
Total Off: 13779143
͏
Total Land: 5249232
͏
Total Water: 20145099
͏
Total Air: 10844326"
765,2005,NE,33826370.4064312,14722794.869352,48549165.27578321,8482995.028189,21082285.1934638,4261090.1847784,3820790.9927469,2588.2520314999997,27841.94,27841.94,15969857.532822,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 48549165
͏
Total On: 33826370
͏
Total Off: 14722795
͏
Total Land: 4261090
͏
Total Water: 21082285
͏
Total Air: 8482995"
766,2006,NE,30251834.196482897,14471131.242168898,44722965.43865181,7901048.373140297,18842321.15006021,3508464.673282401,2604568.7239000006,3425.3793824,24114.77,24114.77,16446205.832728898,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 44722965
͏
Total On: 30251834
͏
Total Off: 14471131
͏
Total Land: 3508465
͏
Total Water: 18842321
͏
Total Air: 7901048"
767,2007,NE,26677648.257255096,17161319.180107996,43838967.43736307,6096330.3737002015,17409778.594872303,3171539.2886825996,2768944.7,4437.828682599999,31652.760000000002,31652.760000000002,18821798.793818004,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 43838967
͏
Total On: 26677648
͏
Total Off: 17161319
͏
Total Land: 3171539
͏
Total Water: 17409779
͏
Total Air: 6096330"
768,2008,NE,30782704.77751722,5341798.1689201,36124502.946437314,8482419.423401099,16979498.858896703,5320786.495219402,4903854.7,5435.355219400001,34059.44,34059.44,6981482.5394201,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 36124503
͏
Total On: 30782705
͏
Total Off: 5341798
͏
Total Land: 5320786
͏
Total Water: 16979499
͏
Total Air: 8482419"
769,2009,NE,26931771.861554597,3210214.929561,30141986.791115582,5605039.701440499,15174931.357890198,6151800.8022239,5295490.949999999,1977.8022239,323853.05,323853.05,5043436.7496609995,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 30141987
͏
Total On: 26931772
͏
Total Off: 3210215
͏
Total Land: 6151801
͏
Total Water: 15174931
͏
Total Air: 5605040"
770,2010,NE,28653575.791443992,3535938.8048868002,32189514.596330795,5746684.423192998,14727942.031999903,8178949.336251101,7668052.1,2105.2162510999997,411603.02,411603.02,4802899.700466799,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 32189515
͏
Total On: 28653576
͏
Total Off: 3535939
͏
Total Land: 8178949
͏
Total Water: 14727942
͏
Total Air: 5746684"
771,2011,NE,24340806.9102072,3459175.8739732997,27799982.78418051,5219949.692039699,11268160.328167498,7852696.890000001,7199522.87,1600.0,538743.02,538743.02,4691119.3554733,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 27799983
͏
Total On: 24340807
͏
Total Off: 3459176
͏
Total Land: 7852697
͏
Total Water: 11268160
͏
Total Air: 5219950"
772,2012,NE,21325111.04215819,3105943.8739321004,24431054.9160903,4911979.1409432,10523995.771215001,5889136.130000001,5241216.0,2047.0,363427.10000000003,363427.10000000003,5571679.3664321,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 24431055
͏
Total On: 21325111
͏
Total Off: 3105944
͏
Total Land: 5889136
͏
Total Water: 10523996
͏
Total Air: 4911979"
773,2013,NE,23820116.540455185,2671580.201781,26491696.742236193,5028565.998158202,11858149.321040003,6933401.221256999,6201094.0,2127.0,473092.2012569999,473092.2012569999,5411611.679980999,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 26491697
͏
Total On: 23820117
͏
Total Off: 2671580
͏
Total Land: 6933401
͏
Total Water: 11858149
͏
Total Air: 5028566"
774,2014,NE,23289783.953261416,3845200.041743798,27134983.995005216,5564572.446997501,11626515.2362639,6098696.2700000005,5292661.0,1672.0,669937.27,669937.27,5968276.774318799,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 27134984
͏
Total On: 23289784
͏
Total Off: 3845200
͏
Total Land: 6098696
͏
Total Water: 11626515
͏
Total Air: 5564572"
775,2015,NE,19072345.5671804,2458386.427609399,21530731.994789813,5427073.015785301,7300413.0513951015,6344859.5,5745097.0,1663.0,580413.5,580413.5,4929783.689330401,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 21530732
͏
Total On: 19072346
͏
Total Off: 2458386
͏
Total Land: 6344860
͏
Total Water: 7300413
͏
Total Air: 5427073"
776,2016,NE,15941049.333168892,2570461.301609899,18511510.634778805,5291079.722966598,4849222.8902023,5800746.72,4636059.0,1668.18,1157366.54,1157366.54,4553924.084059897,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 18511511
͏
Total On: 15941049
͏
Total Off: 2570461
͏
Total Land: 5800747
͏
Total Water: 4849223
͏
Total Air: 5291080"
777,2017,NE,13711114.147499902,3664224.1657085,17375338.313208394,5441156.371344297,4082320.0861556,4187637.69,3171691.39,11862.237,673231.063,673231.063,6338001.152908501,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 17375338
͏
Total On: 13711114
͏
Total Off: 3664224
͏
Total Land: 4187638
͏
Total Water: 4082320
͏
Total Air: 5441156"
778,2018,NE,14725964.111212196,4049443.9140624977,18775408.0252747,5872157.761775403,3759965.8534368,5093840.496000001,4127635.18,17618.665999999997,907751.6499999999,907751.6499999999,7941587.4570625,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 18775408
͏
Total On: 14725964
͏
Total Off: 4049444
͏
Total Land: 5093840
͏
Total Water: 3759966
͏
Total Air: 5872158"
779,2019,NE,14489558.379333002,3358068.854671801,17847627.23400479,5455813.200230698,5514511.429102301,3519233.75,2586443.13,13174.62,913919.0,913919.0,6171140.602171801,Nebraska,NE,41.12537,-98.268082,"Total On/Off Site: 17847627
͏
Total On: 14489558
͏
Total Off: 3358069
͏
Total Land: 3519234
͏
Total Water: 5514511
͏
Total Air: 5455813"
780,1994,NH,3257015.0,195170.0,3452185.0,3181643.0,63865.0,11507.0,0.0,6400.0,2095.0,5102.0,379124.0,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 3452185
͏
Total On: 3257015
͏
Total Off: 195170
͏
Total Land: 11507
͏
Total Water: 63865
͏
Total Air: 3181643"
781,1995,NH,2778969.0,146803.0,2925772.0,2553016.0,112088.0,113865.0,0.0,4500.0,1510.0,109103.0,497035.0,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 2925772
͏
Total On: 2778969
͏
Total Off: 146803
͏
Total Land: 113865
͏
Total Water: 112088
͏
Total Air: 2553016"
782,1996,NH,2653878.0,345499.0,2999377.0,2360375.0,105158.0,188345.0,181813.0,4100.0,2105.0,2105.0,770396.0,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 2999377
͏
Total On: 2653878
͏
Total Off: 345499
͏
Total Land: 188345
͏
Total Water: 105158
͏
Total Air: 2360375"
783,1997,NH,2618267.0,275990.0,2894257.0,2287092.0,115150.0,216025.0,211070.0,3700.0,1255.0,1255.0,750014.0,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 2894257
͏
Total On: 2618267
͏
Total Off: 275990
͏
Total Land: 216025
͏
Total Water: 115150
͏
Total Air: 2287092"
784,1998,NH,6578032.0,489388.0,7067420.0,6346601.0,127644.0,103787.0,77427.0,25100.0,1260.0,1260.0,961164.0,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 7067420
͏
Total On: 6578032
͏
Total Off: 489388
͏
Total Land: 103787
͏
Total Water: 127644
͏
Total Air: 6346601"
785,1999,NH,5443596.0,494353.0,5937949.0,5243777.0,125582.0,74237.0,49577.0,23400.0,1260.0,1260.0,1212480.0,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 5937949
͏
Total On: 5443596
͏
Total Off: 494353
͏
Total Land: 74237
͏
Total Water: 125582
͏
Total Air: 5243777"
786,2000,NH,5593242.813895499,595638.1643000002,6188880.9781955,5432600.389559697,95776.3214774,64866.102858499995,42794.0025388,20812.1,1260.0003197,1260.0003197,1392966.1643,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 6188881
͏
Total On: 5593243
͏
Total Off: 595638
͏
Total Land: 64866
͏
Total Water: 95776
͏
Total Air: 5432600"
787,2001,NH,4552613.2034342,252072.990495,4804686.193929202,4531600.379222601,10925.123898500002,10087.7003131,0.0,10085.7,2.0003131,2.0003131,815257.1233000001,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 4804686
͏
Total On: 4552613
͏
Total Off: 252073
͏
Total Land: 10088
͏
Total Water: 10925
͏
Total Air: 4531600"
788,2002,NH,4326792.562070001,218379.80212999997,4545172.364200002,4298168.913458201,6985.718305,21637.9303068,0.9,21379.0,8.0303065,8.0303065,571668.4121302998,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 4545172
͏
Total On: 4326793
͏
Total Off: 218380
͏
Total Land: 21638
͏
Total Water: 6986
͏
Total Air: 4298169"
789,2003,NH,5508164.019484498,417925.6554215999,5926089.674906097,5399000.096044298,86193.73343950002,22970.1900007,0.0,22805.0,165.1900007,165.1900007,721774.5804215999,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 5926090
͏
Total On: 5508164
͏
Total Off: 417926
͏
Total Land: 22970
͏
Total Water: 86194
͏
Total Air: 5399000"
790,2004,NH,4698031.365645398,637197.7815965002,5335229.147241898,4574218.1172653,107162.76337900001,16650.4850011,0.045,14752.0,1120.4400010999998,1120.4400010999998,911657.3463965,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 5335229
͏
Total On: 4698031
͏
Total Off: 637198
͏
Total Land: 16650
͏
Total Water: 107163
͏
Total Air: 4574218"
791,2005,NH,4888849.5235323,400490.78048039996,5289340.3040127,4823266.5859614005,50930.239570000005,14652.698000899998,0.05,14652.0,0.6480009,0.6480009,672565.6194804003,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 5289340
͏
Total On: 4888850
͏
Total Off: 400491
͏
Total Land: 14653
͏
Total Water: 50930
͏
Total Air: 4823267"
792,2006,NH,4106742.123909501,169679.69060560004,4276421.814515099,3983810.742669501,91225.81624,31705.565000000002,31662.465,0.0,0.4,0.4,461060.85540560004,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 4276422
͏
Total On: 4106742
͏
Total Off: 169680
͏
Total Land: 31706
͏
Total Water: 91226
͏
Total Air: 3983811"
793,2007,NH,3968373.898973901,268860.0079,4237233.9068739,3906549.0389039014,44219.89407,17604.965999999997,17582.3,0.0,1.1660000000000001,1.1660000000000001,561061.1826999999,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 4237234
͏
Total On: 3968374
͏
Total Off: 268860
͏
Total Land: 17605
͏
Total Water: 44220
͏
Total Air: 3906549"
794,2008,NH,2818398.900690701,324526.9928000001,3142925.8934907,2784535.7048707004,1754.2143199999998,32108.981499999998,32095.6,0.0,13.3815,13.3815,595200.3498000001,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 3142926
͏
Total On: 2818399
͏
Total Off: 324527
͏
Total Land: 32109
͏
Total Water: 1754
͏
Total Air: 2784536"
795,2009,NH,2688385.407051201,210409.34600000002,2898794.7530512013,2670319.158056602,1718.9749946000002,16347.274000000001,16347.0,0.0,0.274,0.274,412477.241,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 2898795
͏
Total On: 2688385
͏
Total Off: 210409
͏
Total Land: 16347
͏
Total Water: 1719
͏
Total Air: 2670319"
796,2010,NH,3108911.6861022003,219649.27739999996,3328560.9635022013,3093480.501322201,1797.9227800000003,13633.262,13633.0,0.0,0.262,0.262,418665.7764,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 3328561
͏
Total On: 3108912
͏
Total Off: 219649
͏
Total Land: 13633
͏
Total Water: 1798
͏
Total Air: 3093481"
797,2011,NH,2059040.3895162994,141279.95322500003,2200320.3427413,1955930.6447262997,1327.7476899999997,101781.9971,9365.8,0.0,92416.1971,92416.1971,332450.46002500004,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 2200320
͏
Total On: 2059040
͏
Total Off: 141280
͏
Total Land: 101782
͏
Total Water: 1328
͏
Total Air: 1955931"
798,2012,NH,691825.1358186998,133795.57770000002,825620.7135187,589858.3361066999,797.3497119999998,101169.45000000001,722.2,0.0,100447.25,100447.25,319211.77889999986,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 825621
͏
Total On: 691825
͏
Total Off: 133796
͏
Total Land: 101169
͏
Total Water: 797
͏
Total Air: 589858"
799,2013,NH,608015.9525341003,156092.02641279998,764107.9789469002,605259.1229341002,560.5096,2196.3199999999997,1912.5,0.0,283.82,283.82,389245.7254127999,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 764108
͏
Total On: 608016
͏
Total Off: 156092
͏
Total Land: 2196
͏
Total Water: 561
͏
Total Air: 605259"
800,2014,NH,457321.80683100014,301537.76844,758859.5752709999,455035.8968310002,663.1399999999998,1622.77,790.5,0.0,832.27,832.27,456391.28,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 758860
͏
Total On: 457322
͏
Total Off: 301538
͏
Total Land: 1623
͏
Total Water: 663
͏
Total Air: 455036"
801,2015,NH,327412.9648991,219179.64370400002,546592.6086031,324069.70968910004,551.9362100000001,2791.319,1684.7,0.0,1106.619,1106.619,369052.6916,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 546593
͏
Total On: 327413
͏
Total Off: 219180
͏
Total Land: 2791
͏
Total Water: 552
͏
Total Air: 324070"
802,2016,NH,167954.5048526,156284.3505389,324238.8553915,166479.04220380003,396.2186488,1079.244,158.20000000000002,0.0,921.044,921.044,240625.61535889996,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 324239
͏
Total On: 167955
͏
Total Off: 156284
͏
Total Land: 1079
͏
Total Water: 396
͏
Total Air: 166479"
803,2017,NH,137042.80423779998,128343.06210999994,265385.8663478001,135237.86243779998,403.03180000000003,1401.91,42.300000000000004,0.0,1359.61,1359.61,256414.29305000004,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 265386
͏
Total On: 137043
͏
Total Off: 128343
͏
Total Land: 1402
͏
Total Water: 403
͏
Total Air: 135238"
804,2018,NH,198766.86126360006,235293.03244000004,434059.89370360004,196504.90526360006,955.9109999999998,1306.045,580.505,0.18,725.36,725.36,355771.01200000005,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 434060
͏
Total On: 198767
͏
Total Off: 235293
͏
Total Land: 1306
͏
Total Water: 956
͏
Total Air: 196505"
805,2019,NH,145103.90165999994,250464.77355000004,395568.67520999996,143931.34665999995,486.76499999999993,685.7899999999998,54.63,0.18,630.98,630.98,331693.7967700001,New Hampshire,NH,43.452492,-71.563896,"Total On/Off Site: 395569
͏
Total On: 145104
͏
Total Off: 250465
͏
Total Land: 686
͏
Total Water: 487
͏
Total Air: 143931"
806,1994,NJ,15597322.0,3452601.0,19049923.0,14281815.0,799102.0,516405.0,0.0,0.0,354.0,513314.0,34066093.0,New Jersey,NJ,40.298904,-74.521011,"Total On/Off Site: 19049923
͏
Total On: 15597322
͏
Total Off: 3452601
͏
Total Land: 516405
͏
Total Water: 799102
͏
Total Air: 14281815"
807,1995,NJ,18946263.0,3507554.0,22453817.0,13278864.0,4936404.0,730995.0,0.0,0.0,161997.0,729571.0,44089250.0,New Jersey,NJ,40.298904,-74.521011,"Total On/Off Site: 22453817
͏
Total On: 18946263
͏
Total Off: 3507554
͏
Total Land: 730995
͏
Total Water: 4936404
͏
Total Air: 13278864"
808,1996,NJ,16960068.0,3332631.0,20292699.0,10953337.0,5385517.0,621214.0,147660.0,0.0,207119.0,207119.0,35841708.0,New Jersey,NJ,40.298904,-74.521011,"Total On/Off Site: 20292699
͏
Total On: 16960068
͏
Total Off: 3332631
͏
Total Land: 621214
͏
Total Water: 5385517
͏
Total Air: 10953337"
809,1997,NJ,17740588.0,4511379.0,22251967.0,10630791.0,6156501.0,953296.0,585884.0,3603.0,226570.0,226570.0,40353831.0,New Jersey,NJ,40.298904,-74.521011,"Total On/Off Site: 22251967
͏
Total On: 17740588
͏
Total Off: 4511379
͏
Total Land: 953296
͏
Total Water: 6156501
͏
Total Air: 10630791"
810,1998,NJ,25105433.61,4759761.0,29865194.61,17810141.61,6641290.0,654002.0,236424.0,1024.0,344136.0,344136.0,39910756.0,New Jersey,NJ,40.298904,-74.521011,"Total On/Off Site: 29865195
͏
Total On: 25105434
͏
Total Off: 4759761
͏
Total Land: 654002
͏
Total Water: 6641290
͏
Total Air: 17810142"
811,1999,NJ,23382392.0,5636304.0,29018696.0,17380561.0,5429103.0,572728.0,22847.0,1024.0,383700.0,383700.0,41824353.0,New Jersey,NJ,40.298904,-74.521011,"Total On/Off Site: 29018696
͏
Total On: 23382392
͏
Total Off: 5636304
͏
Total Land: 572728
͏
Total Water: 5429103
͏
Total Air: 17380561"
812,2000,NJ,23672518.832133695,6328049.125129297,30000567.957262885,17847927.9371318,5618780.791199601,205810.1038025,48768.0634307,2087.0,1923.036491,1923.036491,44124442.784388304,New Jersey,NJ,40.298904,-74.521011,"Total On/Off Site: 30000568
͏
Total On: 23672519
͏
Total Off: 6328049
͏
Total Land: 205810
͏
Total Water: 5618781
͏
Total Air: 17847928"
813,2001,NJ,18209991.5735831,15642668.797887998,33852660.37147089,14165105.631385796,3729606.050948301,315279.8912491,63289.389,2127.0,84747.1,84747.1,46193175.80810848,New Jersey,NJ,40.298904,-74.521011,"Total On/Off Site: 33852660
͏
Total On: 18209992
͏
Total Off: 15642669
͏
Total Land: 315280
͏
Total Water: 3729606
͏
Total Air: 14165106"
814,2002,NJ,19232243.80063651,4491345.001714202,23723588.802350607,13715684.440738598,4863870.1690606,652689.1908372999,84106.94,3830.1,440159.35000000003,440159.35000000003,40068421.07600398,New Jersey,NJ,40.298904,-74.521011,"Total On/Off Site: 23723589
͏
Total On: 19232244
͏
Total Off: 4491345
͏
Total Land: 652689
͏
Total Water: 4863870
͏
Total Air: 13715684"
